Sample.Time,Time,Sample,Colony,Community,Treatment,Repli,C.SH,D.SH,tot.SH,logTot.SH,logC.SH,logD.SH,D.Prp,ID
T2_S5-22,T2,S5-22,S5,D,D,R1,0.00E+000,3.36E-003,3.36E-003,-2.4736,NA,-2.4736,1.0000,T2_S5-22.P42_Ssid_T2_D_R1-2.csv
T2_S5-3,T2,S5-3,S5,D,D,R1,7.86E-006,2.12E-003,2.13E-003,-2.6722,-5.1044,-2.6738,0.9963,T2_S5-3.P42_Ssid_T2_D_R1-2.csv
T2_S6-14,T2,S6-14,S6,D,D,R1,1.84E-005,5.07E-003,5.09E-003,-2.2930,-4.7355,-2.2946,0.9964,T2_S6-14.P42_Ssid_T2_D_R1-2.csv
T2_S6-9,T2,S6-9,S6,D,D,R1,0.00E+000,6.23E-003,6.23E-003,-2.2057,NA,-2.2057,1.0000,T2_S6-9.P42_Ssid_T2_D_R1-2.csv
T2_S1-22,T2,S1-22,S1,DC,D,R2,3.78E-005,1.39E-004,1.77E-004,-3.7518,-4.4231,-3.8559,0.7868,T2_S1-22.P42_Ssid_T2_D_R1-2.csv
T2_S1-7,T2,S1-7,S1,D,D,R2,4.80E-006,1.89E-004,1.93E-004,-3.7135,-5.3186,-3.7245,0.9752,T2_S1-7.P42_Ssid_T2_D_R1-2.csv
T2_S2-1,T2,S2-1,S2,D,D,R2,0.00E+000,8.20E-004,8.20E-004,-3.0863,NA,-3.0863,1.0000,T2_S2-1.P42_Ssid_T2_D_R1-2.csv
T2_S2-15,T2,S2-15,S2,D,D,R2,0.00E+000,3.29E-004,3.29E-004,-3.4826,NA,-3.4826,1.0000,T2_S2-15.P42_Ssid_T2_D_R1-2.csv
T2_S3-27,T2,S3-27,S3,D,D,R2,2.52E-006,3.74E-004,3.77E-004,-3.4239,-5.5985,-3.4268,0.9933,T2_S3-27.P42_Ssid_T2_D_R1-2.csv
T2_S3-9,T2,S3-9,S3,DC,D,R2,5.57E-004,9.24E-004,1.48E-003,-2.8295,-3.2541,-3.0344,0.6238,T2_S3-9.P42_Ssid_T2_D_R1-2.csv
T2_S4-14,T2,S4-14,S4,DC,D,R2,2.11E-004,8.26E-004,1.04E-003,-2.9841,-3.6752,-3.0830,0.7963,T2_S4-14.P42_Ssid_T2_D_R1-2.csv
T2_S4-25,T2,S4-25,S4,D,D,R2,9.28E-005,1.15E-003,1.24E-003,-2.9073,-4.0324,-2.9412,0.9250,T2_S4-25.P42_Ssid_T2_D_R1-2.csv
T2_S5-6,T2,S5-6,S5,D,D,R2,0.00E+000,1.75E-003,1.75E-003,-2.7576,NA,-2.7576,1.0000,T2_S5-6.P42_Ssid_T2_D_R1-2.csv
T2_S6-17,T2,S6-17,S6,D,D,R2,0.00E+000,4.65E-003,4.65E-003,-2.3322,NA,-2.3322,1.0000,T2_S6-17.P42_Ssid_T2_D_R1-2.csv
T2_S1-6,T2,S1-6,S1,DC,Fe,R1,1.81E-005,1.86E-005,3.67E-005,-4.4357,-4.7431,-4.7305,0.5072,T2_S1-6.P04_Ssid_T2_Fe_R1.csv
T2_S1-9,T2,S1-9,S1,DC,Fe,R1,5.57E-005,1.06E-004,1.61E-004,-3.7921,-4.2541,-3.9760,0.6548,T2_S1-9.P04_Ssid_T2_Fe_R1.csv
T2_S2-16,T2,S2-16,S2,D,Fe,R1,0.00E+000,2.00E-004,2.00E-004,-3.6996,NA,-3.6996,1.0000,T2_S2-16.P04_Ssid_T2_Fe_R1.csv
T2_S2-25,T2,S2-25,S2,D,Fe,R1,0.00E+000,3.53E-004,3.53E-004,-3.4518,NA,-3.4518,1.0000,T2_S2-25.P04_Ssid_T2_Fe_R1.csv
T2_S3-12,T2,S3-12,S3,C,Fe,R1,2.85E-005,0.00E+000,2.85E-005,-4.5448,-4.5448,NA,0.0000,T2_S3-12.P04_Ssid_T2_Fe_R1.csv
T2_S3-6,T2,S3-6,S3,C,Fe,R1,1.49E-004,0.00E+000,1.49E-004,-3.8270,-3.8270,NA,0.0000,T2_S3-6.P04_Ssid_T2_Fe_R1.csv
T2_S4-11,T2,S4-11,S4,DC,Fe,R1,1.94E-004,1.11E-004,3.05E-004,-3.5158,-3.7119,-3.9555,0.3633,T2_S4-11.P04_Ssid_T2_Fe_R1.csv
T2_S4-9,T2,S4-9,S4,C,Fe,R1,1.88E-004,1.01E-005,1.98E-004,-3.7035,-3.7263,-4.9941,0.0512,T2_S4-9.P04_Ssid_T2_Fe_R1.csv
T2_S5-14,T2,S5-14,S5,D,Fe,R1,0.00E+000,4.18E-004,4.18E-004,-3.3784,NA,-3.3784,1.0000,T2_S5-14.P04_Ssid_T2_Fe_R1.csv
T2_S5-25,T2,S5-25,S5,D,Fe,R1,0.00E+000,1.98E-003,1.98E-003,-2.7022,NA,-2.7022,1.0000,T2_S5-25.P47_Ssid_T0_CO2_R2.csv
T2_S6-1,T2,S6-1,S6,D,Fe,R1,0.00E+000,3.29E-004,3.29E-004,-3.4834,NA,-3.4834,1.0000,T2_S6-1.P47_Ssid_T0_CO2_R2.csv
T2_S6-12,T2,S6-12,S6,D,Fe,R1,0.00E+000,3.93E-004,3.93E-004,-3.4055,NA,-3.4055,1.0000,T2_S6-12.P04_Ssid_T2_Fe_R1.csv
T2_S1-12,T2,S1-12,S1,C,Fe,R2,1.08E-005,0.00E+000,1.08E-005,-4.9678,-4.9678,NA,0.0000,T2_S1-12.P46_Ssid_T1-2_Fe_R2.csv
T2_S1-16,T2,S1-16,S1,DC,Fe,R2,4.67E-006,1.36E-005,1.82E-005,-4.7388,-5.3308,-4.8671,0.7442,T2_S1-16.P46_Ssid_T1-2_Fe_R2.csv
T2_S2-31,T2,S2-31,S2,D,Fe,R2,0.00E+000,1.86E-004,1.86E-004,-3.7297,NA,-3.7297,1.0000,T2_S2-31.P46_Ssid_T1-2_Fe_R2.csv
T2_S2-4,T2,S2-4,S2,D,Fe,R2,0.00E+000,9.26E-005,9.26E-005,-4.0334,NA,-4.0334,1.0000,T2_S2-4.P46_Ssid_T1-2_Fe_R2.csv
T2_S3-11,T2,S3-11,S3,DC,Fe,R2,5.97E-005,9.68E-005,1.57E-004,-3.8053,-4.2239,-4.0139,0.6186,T2_S3-11.P46_Ssid_T1-2_Fe_R2.csv
T2_S3-7,T2,S3-7,S3,DC,Fe,R2,1.97E-004,8.55E-005,2.83E-004,-3.5484,-3.7047,-4.0679,0.3023,T2_S3-7.P46_Ssid_T1-2_Fe_R2.csv
T2_S4-26,T2,S4-26,S4,DC,Fe,R2,7.14E-005,9.95E-005,1.71E-004,-3.7672,-4.1462,-4.0022,0.5822,T2_S4-26.P46_Ssid_T1-2_Fe_R2.csv
T2_S4-28,T2,S4-28,S4,D,Fe,R2,4.39E-007,2.44E-004,2.44E-004,-3.6118,-6.3579,-3.6126,0.9982,T2_S4-28.P46_Ssid_T1-2_Fe_R2.csv
T2_S5-13,T2,S5-13,S5,D,Fe,R2,0.00E+000,2.14E-004,2.14E-004,-3.6704,NA,-3.6704,1.0000,T2_S5-13.P46_Ssid_T1-2_Fe_R2.csv
T2_S5-23,T2,S5-23,S5,DC,Fe,R2,2.90E-005,1.70E-004,1.99E-004,-3.7014,-4.5383,-3.7698,0.8544,T2_S5-23.P46_Ssid_T1-2_Fe_R2.csv
T2_S6-15,T2,S6-15,S6,D,Fe,R2,4.54E-006,4.30E-004,4.35E-004,-3.3619,-5.3425,-3.3665,0.9895,T2_S6-15.P46_Ssid_T1-2_Fe_R2.csv
T2_S6-21,T2,S6-21,S6,D,Fe,R2,0.00E+000,2.92E-004,2.92E-004,-3.5342,NA,-3.5342,1.0000,T2_S6-21.P46_Ssid_T1-2_Fe_R2.csv
T2_S1-17,T2,S1-17,S1,C,N,R1,2.10E-005,0.00E+000,2.10E-005,-4.6786,-4.6786,NA,0.0000,T2_S1-17.P06_Ssid_T2_N_R1.csv
T2_S1-25,T2,S1-25,S1,C,N,R1,3.61E-005,0.00E+000,3.61E-005,-4.4426,-4.4426,NA,0.0000,T2_S1-25.P06_Ssid_T2_N_R1.csv
T2_S2-21,T2,S2-21,S2,D,N,R1,0.00E+000,1.28E-004,1.28E-004,-3.8941,NA,-3.8941,1.0000,T2_S2-21.P06_Ssid_T2_N_R1.csv
T2_S2-24,T2,S2-24,S2,D,N,R1,0.00E+000,1.24E-004,1.24E-004,-3.9074,NA,-3.9074,1.0000,T2_S2-24.P06_Ssid_T2_N_R1.csv
T2_S3-10,T2,S3-10,S3,DC,N,R1,1.21E-004,2.05E-004,3.36E-004,-3.4743,-3.9160,-3.6874,0.6122,T2_S3-10.P06_Ssid_T2_N_R1.csv
T2_S3-8,T2,S3-8,S3,DC,N,R1,2.29E-004,6.98E-005,2.98E-004,-3.5253,-3.6411,-4.1560,0.2341,T2_S3-8.P06_Ssid_T2_N_R1.csv
T2_S4-19,T2,S4-19,S4,DC,N,R1,3.65E-004,1.09E-004,4.73E-004,-3.3248,-3.4381,-3.9639,0.2296,T2_S4-19.P06_Ssid_T2_N_R1.csv
T2_S4-29,T2,S4-29,S4,DC,N,R1,2.38E-004,4.72E-005,2.85E-004,-3.5445,-3.6229,-4.3263,0.1652,T2_S4-29.P06_Ssid_T2_N_R1.csv
T2_S5-11,T2,S5-11,S5,D,N,R1,2.35E-005,1.21E-003,1.23E-003,-2.9102,-4.6290,-2.9185,0.9809,T2_S5-11.P06_Ssid_T2_N_R1.csv
T2_S5-7,T2,S5-7,S5,D,N,R1,5.91E-005,6.87E-004,7.46E-004,-3.1270,-4.2284,-3.1629,0.9208,T2_S5-7.P06_Ssid_T2_N_R1.csv
T2_S6-24,T2,S6-24,S6,D,N,R1,1.94E-006,2.43E-004,2.45E-004,-3.6115,-5.7126,-3.6150,0.9921,T2_S6-24.P06_Ssid_T2_N_R1.csv
T2_S6-28,T2,S6-28,S6,D,N,R1,0.00E+000,5.53E-004,5.53E-004,-3.2574,NA,-3.2574,1.0000,T2_S6-28.P06_Ssid_T2_N_R1.csv
