Core,Sample,Colony,Community,Treatment,Repli,C.SH_2,D.SH_2,tot.SH_2,logTot.SH_2,logC.SH_2,logD.SH_2,D.Prp_2,D.Prop.t_2
S4-6,T2_S4-6,S4,DC,CO2,R2,0.000297,0.0000603,0.000357,-3.447,-3.5273,-4.2197,0.1688,0.4233892279
S5-16,T2_S5-16,S5,D,CO2,R2,0.00000153,0.000313,0.000314,-3.5029,-5.8147,-3.505,0.9951,1.5007390337
S5-20,T2_S5-20,S5,D,CO2,R1,0.00000104,0.000264,0.000265,-3.5767,-5.9849,-3.5784,0.9961,1.5083056829
S5-26,T2_S5-26,S5,D,CO2,R2,0.000000174,0.00015,0.00015,-3.8243,-6.7586,-3.8248,0.9988,1.5361483787
S5-4,T2_S5-4,S5,D,CO2,R1,0.00000205,0.000227,0.000229,-3.6403,-5.6884,-3.6442,0.991,1.4757851151
S6-19,T2_S6-19,S6,D,CO2,R1,0.00000202,0.000377,0.000379,-3.4213,-5.6938,-3.4237,0.9947,1.4979307664
S6-4,T2_S6-4,S6,D,CO2,R1,0.0000019,0.000302,0.000304,-3.5166,-5.7214,-3.5193,0.9938,1.4919746555
S1-19,T2_S1-19,S1,D,D,R1,0.00000195,0.000231,0.000233,-3.6334,-5.7108,-3.6371,0.9916,1.4790160133
S1-22,T2_S1-22,S1,DC,D,R2,0.0000378,0.000139,0.000177,-3.7518,-4.4231,-3.8559,0.7868,1.0908451656
S1-4,T2_S1-4,S1,DC,D,R1,0.0000508,0.0000635,0.000114,-3.9422,-4.2944,-4.1975,0.5555,0.8410127692
S1-7,T2_S1-7,S1,D,D,R2,0.0000048,0.000189,0.000193,-3.7135,-5.3186,-3.7245,0.9752,1.412657878
S2-1,T2_S2-1,S2,D,D,R2,0,0.00082,0.00082,-3.0863,NA,-3.0863,1,1.5707963268
S2-15,T2_S2-15,S2,D,D,R2,0,0.000329,0.000329,-3.4826,NA,-3.4826,1,1.5707963268
S2-20,T2_S2-20,S2,D,D,R1,0,0.000557,0.000557,-3.2542,NA,-3.2542,1,1.5707963268
S2-29,T2_S2-29,S2,D,D,R1,0,0.0259,0.0259,-1.5869,NA,-1.5869,1,1.5707963268
S3-19,T2_S3-19,S3,DC,D,R1,0.000156,0.00127,0.00143,-2.8447,-3.8067,-2.8949,0.8908,1.2340115226
S3-27,T2_S3-27,S3,D,D,R2,0.00000252,0.000374,0.000377,-3.4239,-5.5985,-3.4268,0.9933,1.4888511193
S3-3,T2_S3-3,S3,DC,D,R1,0.000266,0.00132,0.00158,-2.8004,-3.5756,-2.8802,0.8322,1.1487435253
S3-9,T2_S3-9,S3,DC,D,R2,0.000557,0.000924,0.00148,-2.8295,-3.2541,-3.0344,0.6238,0.9104993314
S4-14,T2_S4-14,S4,DC,D,R2,0.000211,0.000826,0.00104,-2.9841,-3.6752,-3.083,0.7963,1.1025395855
S4-21,T2_S4-21,S4,D,D,R1,0.0000647,0.00117,0.00123,-2.91,-4.1894,-2.9334,0.9475,1.3396137648
S4-25,T2_S4-25,S4,D,D,R2,0.0000928,0.00115,0.00124,-2.9073,-4.0324,-2.9412,0.925,1.2933908103
S4-30,T2_S4-30,S4,D,D,R1,0.0000227,0.000831,0.000853,-3.0689,-4.6442,-3.0806,0.9734,1.4069694132
S5-22,T2_S5-22,S5,D,D,R1,0,0.00336,0.00336,-2.4736,NA,-2.4736,1,1.5707963268
S5-3,T2_S5-3,S5,D,D,R1,0.00000786,0.00212,0.00213,-2.6722,-5.1044,-2.6738,0.9963,1.5099311285
S5-6,T2_S5-6,S5,D,D,R2,0,0.00175,0.00175,-2.7576,NA,-2.7576,1,1.5707963268
S6-14,T2_S6-14,S6,D,D,R1,0.0000184,0.00507,0.00509,-2.293,-4.7355,-2.2946,0.9964,1.5107602683
S6-17,T2_S6-17,S6,D,D,R2,0,0.00465,0.00465,-2.3322,NA,-2.3322,1,1.5707963268
S6-9,T2_S6-9,S6,D,D,R1,0,0.00623,0.00623,-2.2057,NA,-2.2057,1,1.5707963268
S1-12,T2_S1-12,S1,C,Fe,R2,0.0000108,0,0.0000108,-4.9678,-4.9678,NA,0,0
S1-16,T2_S1-16,S1,DC,Fe,R2,0.00000467,0.0000136,0.0000182,-4.7388,-5.3308,-4.8671,0.7442,1.040525789
S1-6,T2_S1-6,S1,DC,Fe,R1,0.0000181,0.0000186,0.0000367,-4.4357,-4.7431,-4.7305,0.5072,0.7925984123
S1-9,T2_S1-9,S1,DC,Fe,R1,0.0000557,0.000106,0.000161,-3.7921,-4.2541,-3.976,0.6548,0.9427843308
S2-16,T2_S2-16,S2,D,Fe,R1,0,0.0002,0.0002,-3.6996,NA,-3.6996,1,1.5707963268
S2-25,T2_S2-25,S2,D,Fe,R1,0,0.000353,0.000353,-3.4518,NA,-3.4518,1,1.5707963268
S2-31,T2_S2-31,S2,D,Fe,R2,0,0.000186,0.000186,-3.7297,NA,-3.7297,1,1.5707963268
